bottom_left,top_right,name,pop_density
"(-2.373067617416382, 54.17287063598627)","(-1.472591519355717, 54.53168869018555)",Richmondshire,41.0
"(-1.2782903909683228, 53.987728118896484)","(-0.4064426124095917, 54.42185592651367)",Ryedale,37.0
"(-1.0856167078017052, 54.133049011230526)","(-0.196943998336792, 54.55736160278332)",Scarborough,133.0
"(-1.3444440364837078, 53.619998931884766)","(-0.9022825360297588, 53.95607757568371)",Selby,151.0
"(-0.805756449699345, 52.454315185546875)","(-0.6059277653693584, 52.55311203002941)",Corby,900.0
"(-1.271899700164738, 52.14686965942394)","(-0.7853482365608215, 52.47553634643549)",Daventry,130.0
"(-0.675490140914917, 52.25736236572271)","(-0.35685601830482483, 52.652770996093864)",East Northamptonshire,185.0
"(-0.9078747034072876, 52.34818267822277)","(-0.6287029385566711, 52.52789688110357)",Kettering,436.0
"(-0.9680633544921875, 52.19435501098644)","(-0.7929452061653137, 52.283142089843864)",Northampton,2781.0
"(-1.3211920261383057, 51.97639083862305)","(-0.7084354758262066, 52.259372711181754)",South Northamptonshire,149.0
"(-0.8169077038763817, 52.17013168334972)","(-0.6083462238311199, 52.363922119140625)",Wellingborough,489.0
"(-2.6856329441070557, 54.77861022949219)","(-1.4541219472885132, 55.80439758300781)",Northumberland,64.0
"(-1.257764220237732, 52.88907241821289)","(-1.096452236175537, 53.01972198486334)",Nottingham,4462.0
"(-1.3506464958190918, 53.01006317138666)","(-1.1651874780654907, 53.16079330444347)",Ashfield,1168.0
"(-1.2181947231292725, 53.19574356079096)","(-0.7577443718910217, 53.508789062500114)",Bassetlaw,184.0
"(-1.3497337102890015, 52.905609130859375)","(-1.196231007575875, 53.05874252319347)",Broxtowe,1424.0
"(-1.2368429899215698, 52.94669342041027)","(-1.037488341331482, 53.10319900512707)",Gedling,983.0
"(-1.266219735145512, 53.10807418823242)","(-1.1118791103362469, 53.23713684082037)",Mansfield,1425.0
"(-1.1757243871688843, 52.95750808715832)","(-0.6739785671233562, 53.25383758544922)",Newark and Sherwood,188.0
"(-1.2787790298461914, 52.79535675048828)","(-0.8177348375319866, 53.0384140014649)",Rushcliffe,291.0
"(-2.177900552749634, 53.48995208740229)","(-1.9114912748336792, 53.61861038208002)",Oldham,1666.0
"(-1.5217924118041992, 51.785896301269645)","(-1.0472209453582764, 52.16159057617193)",Cherwell,256.0
"(-1.312382459640503, 51.71249389648432)","(-1.1946592330932049, 51.80169677734381)",Oxford,3343.0
"(-1.3021554946899414, 51.46165466308605)","(-0.868332028388977, 51.81618881225586)",South Oxfordshire,209.0
"(-1.6866669654845055, 51.517429351806754)","(-1.231452465057373, 51.8004722595216)",Vale of White Horse,235.0
"(-1.709167003631535, 51.690578460693416)","(-1.2978581190109253, 51.987838745117244)",West Oxfordshire,155.0
"(-0.506621241569519, 52.52754592895519)","(-0.025876151397824287, 52.66626739501959)",Peterborough,589.0
"(-4.204721927642765, 50.34460067749035)","(-4.036635875701791, 50.43552398681635)",Plymouth,3282.0
"(-1.1130570173262981, 50.77597045898449)","(-0.935276985168457, 50.85788726806646)",Portsmouth,5321.0
